Flight_ID,Route,Departure_Time,Arrival_Time,Aircraft_Type,Flight_Duration,Pilot_ID,Name,Rank,Certification,Age,Experience_Years,Rest_Hours,Fatigue_Score,Last_Flight_Time
FLY1456,Guwahati to Pune,2025-12-31 11:30,2025-12-31 13:42,B737,2h 12m,PLT8784,FO_30,First Officer,B737,25,4,14,3,2025-12-30 21:30
FLY1457,Bangalore to Goa,2025-12-31 02:30,2025-12-31 05:22,B737,2h 52m,PLT6479,Captain_33,Captain,B737,53,31,13,4,2025-12-30 13:30
FLY1458,Bangalore to Mumbai,2025-12-31 16:30,2025-12-31 17:42,B737,1h 12m,PLT8055,FO_3,First Officer,B737,30,9,12,6,2025-12-31 04:30
FLY1459,Pune to Hyderabad,2025-12-31 11:45,2025-12-31 14:41,B737,2h 56m,PLT7407,Captain_24,Captain,B737,50,28,20,1,2025-12-30 15:45
FLY1460,Ahmedabad to Mumbai,2025-12-31 18:00,2025-12-31 18:57,A320,0h 57m,PLT8380,FO_27,First Officer,A320,38,17,18,3,2025-12-31 00:00
FLY1461,Delhi to Pune,2025-12-31 20:00,2025-12-31 21:25,B737,1h 25m,PLT7359,FO_31,First Officer,B737,24,3,17,1,2025-12-31 03:00
FLY1462,Guwahati to Goa,2025-12-31 04:30,2025-12-31 06:32,A320,2h 2m,PLT7352,FO_16,First Officer,A320,29,8,11,6,2025-12-30 17:30
FLY1463,Mumbai to Ahmedabad,2025-12-31 06:30,2025-12-31 09:12,A320,2h 42m,PLT7259,FO_29,First Officer,A320,27,6,16,3,2025-12-30 14:30
FLY1464,Goa to Pune,2025-12-31 13:30,2025-12-31 15:49,A320,2h 19m,PLT8136,FO_27,First Officer,A320,29,8,21,1,2025-12-30 16:30
FLY1465,Mumbai to Chennai,2025-12-31 03:45,2025-12-31 05:38,A320,1h 53m,PLT7955,Captain_14,Captain,A320,53,31,19,4,2025-12-30 08:45
FLY1466,Goa to Bangalore,2025-12-31 20:15,2025-12-31 21:48,B737,1h 33m,PLT8229,FO_5,First Officer,B737,29,8,24,4,2025-12-30 20:15
FLY1467,Mumbai to Guwahati,2025-12-31 14:45,2025-12-31 16:19,B737,1h 34m,PLT5861,FO_35,First Officer,B737,31,10,9,5,2025-12-31 05:45
FLY1468,Delhi to Guwahati,2025-12-31 00:30,2025-12-31 02:49,B737,2h 19m,PLT7189,Captain_16,Captain,B737,44,22,17,4,2025-12-30 07:30
FLY1469,Hyderabad to Bangalore,2025-12-31 00:15,2025-12-31 01:46,A320,1h 31m,PLT6688,FO_42,First Officer,A320,25,4,23,2,2025-12-30 01:15
FLY1470,Chennai to Ahmedabad,2025-12-31 18:45,2025-12-31 21:38,B737,2h 53m,PLT7172,Captain_24,Captain,B737,42,20,16,2,2025-12-31 02:45
FLY1471,Hyderabad to Mumbai,2025-12-31 17:15,2025-12-31 18:55,B737,1h 40m,PLT7532,Captain_26,Captain,B737,52,30,14,3,2025-12-31 03:15
FLY1472,Kolkata to Goa,2025-12-31 20:00,2025-12-31 20:57,A320,0h 57m,PLT5458,FO_14,First Officer,A320,30,9,20,4,2025-12-31 00:00
FLY1473,Delhi to Ahmedabad,2025-12-31 16:15,2025-12-31 18:31,A320,2h 16m,PLT6662,FO_25,First Officer,A320,31,10,23,3,2025-12-30 17:15
FLY1474,Chennai to Bangalore,2025-12-31 04:30,2025-12-31 06:57,B737,2h 27m,PLT6430,FO_30,First Officer,B737,31,10,19,1,2025-12-30 09:30
FLY1475,Kolkata to Delhi,2025-12-31 14:30,2025-12-31 15:35,A320,1h 5m,PLT6961,Captain_30,Captain,A320,43,21,12,5,2025-12-31 02:30
FLY1476,Hyderabad to Goa,2025-12-31 19:30,2025-12-31 20:53,B737,1h 23m,PLT8525,FO_29,First Officer,B737,37,16,11,8,2025-12-31 08:30
FLY1477,Pune to Goa,2025-12-31 16:00,2025-12-31 18:35,B737,2h 35m,PLT5995,FO_24,First Officer,B737,32,11,9,6,2025-12-31 07:00
FLY1478,Hyderabad to Delhi,2025-12-31 00:30,2025-12-31 03:30,A320,3h 0m,PLT7957,FO_47,First Officer,A320,31,10,14,2,2025-12-30 10:30
FLY1479,Goa to Ahmedabad,2025-12-31 06:15,2025-12-31 09:05,A320,2h 50m,PLT6302,Captain_13,Captain,A320,42,20,17,1,2025-12-30 13:15
FLY1480,Pune to Ahmedabad,2025-12-31 12:00,2025-12-31 13:45,B737,1h 45m,PLT7084,FO_30,First Officer,B737,27,6,21,3,2025-12-30 15:00
FLY1481,Chennai to Mumbai,2025-12-31 04:45,2025-12-31 05:56,A320,1h 11m,PLT6579,Captain_14,Captain,A320,59,37,23,3,2025-12-30 05:45
FLY1482,Guwahati to Chennai,2025-12-31 14:45,2025-12-31 16:12,A320,1h 27m,PLT5129,Captain_38,Captain,A320,54,32,10,9,2025-12-31 04:45
FLY1483,Pune to Mumbai,2025-12-31 07:45,2025-12-31 10:20,A320,2h 35m,PLT7120,FO_7,First Officer,A320,24,3,11,6,2025-12-30 20:45
FLY1484,Guwahati to Pune,2025-12-31 15:45,2025-12-31 18:33,A320,2h 48m,PLT5067,FO_27,First Officer,A320,27,6,17,3,2025-12-30 22:45
FLY1485,Bangalore to Ahmedabad,2025-12-31 05:00,2025-12-31 07:14,B737,2h 14m,PLT6473,Captain_32,Captain,B737,47,25,12,7,2025-12-30 17:00
FLY1486,Kolkata to Hyderabad,2025-12-31 17:00,2025-12-31 19:17,A320,2h 17m,PLT6642,FO_48,First Officer,A320,27,6,8,6,2025-12-31 09:00
FLY1487,Bangalore to Delhi,2025-12-31 13:45,2025-12-31 16:17,A320,2h 32m,PLT7371,FO_23,First Officer,A320,29,8,22,2,2025-12-30 15:45
FLY1488,Bangalore to Goa,2025-12-31 10:30,2025-12-31 13:19,B737,2h 49m,PLT8141,Captain_7,Captain,B737,58,36,23,3,2025-12-30 11:30
FLY1489,Hyderabad to Chennai,2025-12-31 04:30,2025-12-31 05:15,A320,0h 45m,PLT8670,Captain_38,Captain,A320,42,20,13,2,2025-12-30 15:30
FLY1490,Goa to Chennai,2025-12-31 16:15,2025-12-31 18:27,B737,2h 12m,PLT8521,Captain_12,Captain,B737,49,27,24,1,2025-12-30 16:15
FLY1491,Chennai to Mumbai,2025-12-31 19:45,2025-12-31 21:35,A320,1h 50m,PLT6718,FO_26,First Officer,A320,30,9,18,3,2025-12-31 01:45
FLY1492,Hyderabad to Kolkata,2025-12-31 10:30,2025-12-31 11:43,B737,1h 13m,PLT7799,Captain_15,Captain,B737,44,22,19,4,2025-12-30 15:30
FLY1493,Mumbai to Goa,2025-12-31 01:45,2025-12-31 04:17,B737,2h 32m,PLT5742,Captain_10,Captain,B737,51,29,24,3,2025-12-30 01:45
FLY1494,Ahmedabad to Bangalore,2025-12-31 07:30,2025-12-31 09:55,B737,2h 25m,PLT6155,FO_16,First Officer,B737,33,12,22,4,2025-12-30 09:30
FLY1495,Bangalore to Ahmedabad,2025-12-31 18:00,2025-12-31 20:43,B737,2h 43m,PLT8936,Captain_48,Captain,B737,50,28,19,1,2025-12-30 23:00
FLY1496,Delhi to Kolkata,2025-12-31 02:30,2025-12-31 05:05,A320,2h 35m,PLT7308,FO_37,First Officer,A320,32,11,22,1,2025-12-30 04:30
FLY1497,Delhi to Goa,2025-12-31 15:45,2025-12-31 16:51,B737,1h 6m,PLT5054,Captain_47,Captain,B737,60,38,13,4,2025-12-31 02:45
FLY1498,Kolkata to Goa,2025-12-31 00:30,2025-12-31 02:42,B737,2h 12m,PLT6329,Captain_42,Captain,B737,45,23,12,9,2025-12-30 12:30
FLY1499,Chennai to Ahmedabad,2025-12-31 04:30,2025-12-31 06:30,B737,2h 0m,PLT7162,Captain_28,Captain,B737,50,28,12,6,2025-12-30 16:30
FLY1500,Kolkata to Guwahati,2025-12-31 16:15,2025-12-31 17:17,B737,1h 2m,PLT7988,Captain_36,Captain,B737,40,18,18,2,2025-12-30 22:15
FLY1501,Mumbai to Guwahati,2025-12-31 17:45,2025-12-31 20:34,B737,2h 49m,PLT8236,FO_19,First Officer,B737,26,5,8,5,2025-12-31 09:45
FLY1502,Hyderabad to Pune,2025-12-31 20:30,2025-12-31 21:31,A320,1h 1m,PLT5178,Captain_11,Captain,A320,58,36,22,2,2025-12-30 22:30
FLY1503,Hyderabad to Mumbai,2025-12-31 00:15,2025-12-31 02:30,B737,2h 15m,PLT7828,FO_14,First Officer,B737,25,4,18,4,2025-12-30 06:15
FLY1504,Hyderabad to Goa,2025-12-31 02:15,2025-12-31 04:19,A320,2h 4m,PLT8874,FO_20,First Officer,A320,38,17,17,3,2025-12-30 09:15
FLY1505,Pune to Delhi,2025-12-31 18:30,2025-12-31 21:23,B737,2h 53m,PLT7543,FO_17,First Officer,B737,36,15,23,3,2025-12-30 19:30
FLY1506,Chennai to Goa,2025-12-31 17:30,2025-12-31 20:21,B737,2h 51m,PLT6064,FO_6,First Officer,B737,36,15,23,4,2025-12-30 18:30
FLY1507,Pune to Guwahati,2025-12-31 18:15,2025-12-31 20:02,B737,1h 47m,PLT5681,FO_38,First Officer,B737,37,16,24,1,2025-12-30 18:15
FLY1508,Delhi to Mumbai,2025-12-31 18:00,2025-12-31 19:37,A320,1h 37m,PLT8425,Captain_16,Captain,A320,43,21,16,3,2025-12-31 02:00
FLY1509,Goa to Mumbai,2025-12-31 16:30,2025-12-31 18:40,A320,2h 10m,PLT5421,Captain_14,Captain,A320,47,25,10,7,2025-12-31 06:30
FLY1510,Ahmedabad to Guwahati,2025-12-31 12:00,2025-12-31 14:07,B737,2h 7m,PLT5961,Captain_11,Captain,B737,60,38,16,3,2025-12-30 20:00
FLY1511,Ahmedabad to Kolkata,2025-12-31 18:30,2025-12-31 20:16,A320,1h 46m,PLT6422,FO_44,First Officer,A320,24,3,19,1,2025-12-30 23:30
FLY1512,Ahmedabad to Delhi,2025-12-31 07:45,2025-12-31 08:52,A320,1h 7m,PLT8193,FO_16,First Officer,A320,30,9,17,1,2025-12-30 14:45
FLY1513,Delhi to Chennai,2025-12-31 06:30,2025-12-31 08:56,A320,2h 26m,PLT8250,Captain_31,Captain,A320,48,26,16,4,2025-12-30 14:30
FLY1514,Delhi to Hyderabad,2025-12-31 17:30,2025-12-31 20:07,B737,2h 37m,PLT7877,FO_45,First Officer,B737,30,9,18,3,2025-12-30 23:30
FLY1515,Pune to Ahmedabad,2025-12-31 05:00,2025-12-31 07:07,B737,2h 7m,PLT8278,FO_36,First Officer,B737,38,17,9,6,2025-12-30 20:00
FLY1516,Hyderabad to Chennai,2025-12-31 08:45,2025-12-31 11:15,A320,2h 30m,PLT7445,Captain_9,Captain,A320,49,27,24,3,2025-12-30 08:45
FLY1517,Delhi to Bangalore,2025-12-31 09:15,2025-12-31 11:06,A320,1h 51m,PLT6227,Captain_29,Captain,A320,41,19,13,3,2025-12-30 20:15
FLY1518,Mumbai to Goa,2025-12-31 03:45,2025-12-31 05:09,A320,1h 24m,PLT8803,Captain_26,Captain,A320,44,22,12,8,2025-12-30 15:45
FLY1519,Mumbai to Goa,2025-12-31 09:45,2025-12-31 11:02,B737,1h 17m,PLT5034,FO_21,First Officer,B737,28,7,19,1,2025-12-30 14:45
FLY1520,Bangalore to Hyderabad,2025-12-31 08:00,2025-12-31 10:13,B737,2h 13m,PLT8114,FO_31,First Officer,B737,39,18,14,3,2025-12-30 18:00
FLY1521,Mumbai to Guwahati,2025-12-31 10:30,2025-12-31 13:28,A320,2h 58m,PLT7714,FO_26,First Officer,A320,35,14,20,3,2025-12-30 14:30
FLY1522,Ahmedabad to Delhi,2025-12-31 19:00,2025-12-31 20:45,B737,1h 45m,PLT5176,Captain_41,Captain,B737,59,37,10,9,2025-12-31 09:00
FLY1523,Mumbai to Ahmedabad,2025-12-31 09:15,2025-12-31 11:34,A320,2h 19m,PLT6698,FO_20,First Officer,A320,25,4,16,4,2025-12-30 17:15
FLY1524,Pune to Goa,2025-12-31 14:30,2025-12-31 16:03,B737,1h 33m,PLT6607,FO_9,First Officer,B737,34,13,17,1,2025-12-30 21:30
FLY1525,Chennai to Ahmedabad,2025-12-31 16:00,2025-12-31 18:08,B737,2h 8m,PLT5460,Captain_2,Captain,B737,45,23,20,4,2025-12-30 20:00
FLY1526,Goa to Hyderabad,2025-12-31 11:15,2025-12-31 13:32,B737,2h 17m,PLT5410,Captain_23,Captain,B737,56,34,21,2,2025-12-30 14:15
FLY1527,Bangalore to Chennai,2025-12-31 00:00,2025-12-31 01:41,B737,1h 41m,PLT6697,FO_19,First Officer,B737,33,12,16,2,2025-12-30 08:00
FLY1528,Mumbai to Bangalore,2025-12-31 17:45,2025-12-31 18:30,A320,0h 45m,PLT7060,Captain_17,Captain,A320,46,24,9,5,2025-12-31 08:45
FLY1529,Delhi to Chennai,2025-12-31 19:30,2025-12-31 21:14,A320,1h 44m,PLT6459,FO_19,First Officer,A320,30,9,15,3,2025-12-31 04:30
FLY1530,Chennai to Guwahati,2025-12-31 02:15,2025-12-31 04:22,B737,2h 7m,PLT5406,Captain_32,Captain,B737,41,19,11,9,2025-12-30 15:15
FLY1531,Delhi to Goa,2025-12-31 16:15,2025-12-31 17:52,A320,1h 37m,PLT5857,FO_11,First Officer,A320,39,18,11,7,2025-12-31 05:15
FLY1532,Mumbai to Goa,2025-12-31 15:15,2025-12-31 16:41,B737,1h 26m,PLT7079,Captain_19,Captain,B737,55,33,8,5,2025-12-31 07:15
FLY1533,Hyderabad to Bangalore,2025-12-31 10:30,2025-12-31 11:33,A320,1h 3m,PLT7102,Captain_5,Captain,A320,46,24,9,6,2025-12-31 01:30
FLY1534,Bangalore to Delhi,2025-12-31 15:30,2025-12-31 18:29,A320,2h 59m,PLT5453,Captain_8,Captain,A320,49,27,13,2,2025-12-31 02:30
FLY1535,Goa to Chennai,2025-12-31 04:30,2025-12-31 06:28,B737,1h 58m,PLT5837,Captain_32,Captain,B737,52,30,21,2,2025-12-30 07:30
FLY1536,Pune to Ahmedabad,2025-12-31 02:30,2025-12-31 04:05,B737,1h 35m,PLT6499,FO_11,First Officer,B737,32,11,22,3,2025-12-30 04:30
FLY1537,Pune to Mumbai,2025-12-31 11:30,2025-12-31 14:00,A320,2h 30m,PLT5083,Captain_50,Captain,A320,44,22,8,9,2025-12-31 03:30
FLY1538,Goa to Chennai,2025-12-31 13:00,2025-12-31 14:49,B737,1h 49m,PLT6604,Captain_1,Captain,B737,41,19,9,8,2025-12-31 04:00
FLY1539,Hyderabad to Kolkata,2025-12-31 13:00,2025-12-31 15:03,A320,2h 3m,PLT5909,Captain_35,Captain,A320,60,38,10,8,2025-12-31 03:00
FLY1540,Bangalore to Mumbai,2025-12-31 11:00,2025-12-31 13:51,B737,2h 51m,PLT8211,Captain_25,Captain,B737,52,30,21,3,2025-12-30 14:00
FLY1541,Guwahati to Goa,2025-12-31 16:15,2025-12-31 18:18,B737,2h 3m,PLT8976,Captain_4,Captain,B737,51,29,20,3,2025-12-30 20:15
FLY1542,Pune to Guwahati,2025-12-31 14:30,2025-12-31 16:55,B737,2h 25m,PLT5670,FO_9,First Officer,B737,35,14,14,1,2025-12-31 00:30
FLY1543,Chennai to Mumbai,2025-12-31 07:30,2025-12-31 10:00,B737,2h 30m,PLT6621,FO_49,First Officer,B737,33,12,15,4,2025-12-30 16:30
FLY1544,Mumbai to Delhi,2025-12-31 02:15,2025-12-31 03:30,A320,1h 15m,PLT8732,Captain_35,Captain,A320,43,21,11,6,2025-12-30 15:15
FLY1545,Kolkata to Goa,2025-12-31 09:30,2025-12-31 11:40,A320,2h 10m,PLT7297,FO_21,First Officer,A320,24,3,9,9,2025-12-31 00:30
FLY1546,Ahmedabad to Goa,2025-12-31 15:30,2025-12-31 17:30,A320,2h 0m,PLT7961,Captain_12,Captain,A320,41,19,13,3,2025-12-31 02:30
FLY1547,Ahmedabad to Kolkata,2025-12-31 10:15,2025-12-31 11:31,B737,1h 16m,PLT5646,FO_10,First Officer,B737,36,15,24,3,2025-12-30 10:15
FLY1548,Guwahati to Ahmedabad,2025-12-31 15:45,2025-12-31 18:37,B737,2h 52m,PLT5309,FO_4,First Officer,B737,32,11,17,4,2025-12-30 22:45
FLY1549,Kolkata to Pune,2025-12-31 16:00,2025-12-31 18:17,B737,2h 17m,PLT7379,FO_39,First Officer,B737,31,10,19,4,2025-12-30 21:00
FLY1550,Ahmedabad to Chennai,2025-12-31 04:30,2025-12-31 06:10,B737,1h 40m,PLT6469,Captain_30,Captain,B737,58,36,19,3,2025-12-30 09:30
FLY1551,Chennai to Mumbai,2025-12-31 13:00,2025-12-31 15:22,B737,2h 22m,PLT7360,Captain_37,Captain,B737,48,26,13,2,2025-12-31 00:00
FLY1552,Kolkata to Goa,2025-12-31 17:00,2025-12-31 18:14,A320,1h 14m,PLT8563,Captain_27,Captain,A320,54,32,23,3,2025-12-30 18:00
FLY1553,Bangalore to Hyderabad,2025-12-31 09:15,2025-12-31 10:46,B737,1h 31m,PLT7543,FO_44,First Officer,B737,32,11,23,3,2025-12-30 10:15
FLY1554,Bangalore to Ahmedabad,2025-12-31 14:30,2025-12-31 16:46,B737,2h 16m,PLT6977,Captain_19,Captain,B737,57,35,19,1,2025-12-30 19:30
FLY1555,Hyderabad to Bangalore,2025-12-31 19:15,2025-12-31 22:01,B737,2h 46m,PLT5826,Captain_9,Captain,B737,55,33,18,2,2025-12-31 01:15
FLY1556,Chennai to Kolkata,2025-12-31 20:00,2025-12-31 22:49,A320,2h 49m,PLT8525,FO_28,First Officer,A320,37,16,9,7,2025-12-31 11:00
FLY1557,Guwahati to Goa,2025-12-31 10:30,2025-12-31 13:23,A320,2h 53m,PLT5198,Captain_14,Captain,A320,57,35,24,4,2025-12-30 10:30
FLY1558,Goa to Kolkata,2025-12-31 19:45,2025-12-31 22:45,A320,3h 0m,PLT7239,FO_30,First Officer,A320,25,4,23,2,2025-12-30 20:45
FLY1559,Pune to Hyderabad,2025-12-31 07:30,2025-12-31 08:31,A320,1h 1m,PLT6587,FO_49,First Officer,A320,37,16,11,6,2025-12-30 20:30
FLY1560,Kolkata to Guwahati,2025-12-31 05:00,2025-12-31 07:42,A320,2h 42m,PLT5243,Captain_48,Captain,A320,43,21,15,3,2025-12-30 14:00
FLY1561,Guwahati to Delhi,2025-12-31 13:30,2025-12-31 16:15,A320,2h 45m,PLT7585,Captain_48,Captain,A320,55,33,23,3,2025-12-30 14:30
FLY1562,Hyderabad to Delhi,2025-12-31 16:15,2025-12-31 18:02,A320,1h 47m,PLT6203,Captain_24,Captain,A320,44,22,11,5,2025-12-31 05:15
FLY1563,Ahmedabad to Bangalore,2025-12-31 17:15,2025-12-31 20:14,A320,2h 59m,PLT6181,Captain_38,Captain,A320,58,36,8,5,2025-12-31 09:15
FLY1564,Pune to Guwahati,2025-12-31 19:30,2025-12-31 22:17,B737,2h 47m,PLT5574,FO_47,First Officer,B737,24,3,14,3,2025-12-31 05:30
FLY1565,Chennai to Guwahati,2025-12-31 09:45,2025-12-31 12:12,B737,2h 27m,PLT5455,Captain_35,Captain,B737,43,21,24,4,2025-12-30 09:45
FLY1566,Chennai to Mumbai,2025-12-31 11:15,2025-12-31 13:30,A320,2h 15m,PLT7865,FO_41,First Officer,A320,29,8,20,4,2025-12-30 15:15
FLY1567,Delhi to Hyderabad,2025-12-31 05:15,2025-12-31 08:15,A320,3h 0m,PLT6287,FO_12,First Officer,A320,27,6,13,4,2025-12-30 16:15
FLY1568,Delhi to Hyderabad,2025-12-31 14:45,2025-12-31 16:28,A320,1h 43m,PLT6855,Captain_42,Captain,A320,52,30,9,9,2025-12-31 05:45
FLY1569,Mumbai to Guwahati,2025-12-31 18:30,2025-12-31 20:24,B737,1h 54m,PLT5310,Captain_25,Captain,B737,59,37,13,4,2025-12-31 05:30
FLY1570,Guwahati to Goa,2025-12-31 12:30,2025-12-31 14:16,B737,1h 46m,PLT6169,Captain_8,Captain,B737,44,22,17,3,2025-12-30 19:30
FLY1571,Kolkata to Mumbai,2025-12-31 19:15,2025-12-31 20:07,A320,0h 52m,PLT7751,FO_47,First Officer,A320,31,10,24,3,2025-12-30 19:15
FLY1572,Pune to Hyderabad,2025-12-31 17:00,2025-12-31 18:41,B737,1h 41m,PLT6672,FO_18,First Officer,B737,37,16,12,6,2025-12-31 05:00
FLY1573,Bangalore to Pune,2025-12-31 20:30,2025-12-31 22:37,B737,2h 7m,PLT5477,FO_31,First Officer,B737,34,13,8,6,2025-12-31 12:30
FLY1574,Delhi to Pune,2025-12-31 18:15,2025-12-31 19:24,A320,1h 9m,PLT8653,FO_36,First Officer,A320,39,18,15,1,2025-12-31 03:15
FLY1575,Goa to Guwahati,2025-12-31 01:15,2025-12-31 02:20,A320,1h 5m,PLT8024,FO_31,First Officer,A320,35,14,24,3,2025-12-30 01:15
FLY1576,Chennai to Ahmedabad,2025-12-31 12:15,2025-12-31 13:25,B737,1h 10m,PLT7606,Captain_44,Captain,B737,50,28,22,1,2025-12-30 14:15
FLY1577,Ahmedabad to Delhi,2025-12-31 07:45,2025-12-31 09:16,B737,1h 31m,PLT6211,FO_50,First Officer,B737,30,9,17,3,2025-12-30 14:45
FLY1578,Mumbai to Chennai,2025-12-31 17:30,2025-12-31 19:46,A320,2h 16m,PLT6530,Captain_37,Captain,A320,49,27,16,2,2025-12-31 01:30
FLY1579,Mumbai to Bangalore,2025-12-31 01:00,2025-12-31 03:43,A320,2h 43m,PLT8916,Captain_27,Captain,A320,59,37,19,3,2025-12-30 06:00
FLY1580,Bangalore to Goa,2025-12-31 01:45,2025-12-31 03:19,B737,1h 34m,PLT7875,Captain_35,Captain,B737,56,34,17,4,2025-12-30 08:45
FLY1581,Chennai to Mumbai,2025-12-31 03:15,2025-12-31 05:05,A320,1h 50m,PLT8440,FO_50,First Officer,A320,39,18,24,1,2025-12-30 03:15
FLY1582,Ahmedabad to Kolkata,2025-12-31 05:45,2025-12-31 08:33,B737,2h 48m,PLT7887,Captain_48,Captain,B737,49,27,18,3,2025-12-30 11:45
FLY1583,Goa to Kolkata,2025-12-31 17:00,2025-12-31 18:14,A320,1h 14m,PLT6765,FO_50,First Officer,A320,37,16,16,2,2025-12-31 01:00
FLY1584,Pune to Goa,2025-12-31 12:15,2025-12-31 14:13,A320,1h 58m,PLT5721,FO_44,First Officer,A320,29,8,16,2,2025-12-30 20:15
FLY1585,Hyderabad to Pune,2025-12-31 00:00,2025-12-31 02:11,B737,2h 11m,PLT8910,Captain_36,Captain,B737,46,24,23,1,2025-12-30 01:00
FLY1586,Ahmedabad to Hyderabad,2025-12-31 08:00,2025-12-31 10:50,A320,2h 50m,PLT7651,FO_2,First Officer,A320,27,6,19,1,2025-12-30 13:00
FLY1587,Guwahati to Hyderabad,2025-12-31 01:30,2025-12-31 02:15,B737,0h 45m,PLT7948,FO_17,First Officer,B737,28,7,12,6,2025-12-30 13:30
FLY1588,Bangalore to Kolkata,2025-12-31 15:30,2025-12-31 18:10,B737,2h 40m,PLT8198,FO_32,First Officer,B737,34,13,10,5,2025-12-31 05:30
FLY1589,Ahmedabad to Mumbai,2025-12-31 00:00,2025-12-31 01:21,A320,1h 21m,PLT6266,Captain_45,Captain,A320,48,26,22,1,2025-12-30 02:00
FLY1590,Guwahati to Delhi,2025-12-31 04:30,2025-12-31 07:24,B737,2h 54m,PLT7915,FO_11,First Officer,B737,32,11,19,1,2025-12-30 09:30
FLY1591,Guwahati to Bangalore,2025-12-31 17:15,2025-12-31 18:58,B737,1h 43m,PLT6542,FO_44,First Officer,B737,25,4,12,5,2025-12-31 05:15
FLY1592,Mumbai to Kolkata,2025-12-31 14:15,2025-12-31 16:09,A320,1h 54m,PLT8159,FO_17,First Officer,A320,28,7,14,2,2025-12-31 00:15
FLY1593,Delhi to Bangalore,2025-12-31 01:00,2025-12-31 02:03,B737,1h 3m,PLT8514,FO_24,First Officer,B737,29,8,14,3,2025-12-30 11:00
FLY1594,Goa to Hyderabad,2025-12-31 11:00,2025-12-31 13:04,B737,2h 4m,PLT6675,Captain_33,Captain,B737,53,31,24,2,2025-12-30 11:00
FLY1595,Chennai to Pune,2025-12-31 15:30,2025-12-31 16:31,A320,1h 1m,PLT7913,Captain_31,Captain,A320,58,36,10,9,2025-12-31 05:30
FLY1596,Chennai to Hyderabad,2025-12-31 04:45,2025-12-31 06:27,A320,1h 42m,PLT6613,Captain_14,Captain,A320,58,36,17,3,2025-12-30 11:45
FLY1597,Goa to Ahmedabad,2025-12-31 00:15,2025-12-31 02:53,B737,2h 38m,PLT6065,FO_9,First Officer,B737,28,7,22,3,2025-12-30 02:15
FLY1598,Pune to Guwahati,2025-12-31 15:00,2025-12-31 16:51,A320,1h 51m,PLT5901,Captain_42,Captain,A320,56,34,16,1,2025-12-30 23:00
FLY1599,Goa to Hyderabad,2025-12-31 12:00,2025-12-31 14:22,A320,2h 22m,PLT6949,FO_13,First Officer,A320,24,3,10,8,2025-12-31 02:00
FLY1600,Mumbai to Pune,2025-12-31 06:45,2025-12-31 08:00,B737,1h 15m,PLT7663,FO_12,First Officer,B737,24,3,11,5,2025-12-30 19:45
FLY1601,Kolkata to Ahmedabad,2025-12-31 14:45,2025-12-31 17:29,A320,2h 44m,PLT7854,Captain_26,Captain,A320,57,35,8,9,2025-12-31 06:45
FLY1602,Delhi to Kolkata,2025-12-31 19:45,2025-12-31 21:39,B737,1h 54m,PLT8812,FO_35,First Officer,B737,39,18,16,4,2025-12-31 03:45
FLY1603,Guwahati to Pune,2025-12-31 00:45,2025-12-31 01:35,A320,0h 50m,PLT6885,FO_10,First Officer,A320,24,3,24,4,2025-12-30 00:45
FLY1604,Hyderabad to Chennai,2025-12-31 16:45,2025-12-31 19:01,B737,2h 16m,PLT5667,FO_23,First Officer,B737,36,15,17,2,2025-12-30 23:45
FLY1605,Kolkata to Chennai,2025-12-31 13:30,2025-12-31 15:21,A320,1h 51m,PLT8693,Captain_49,Captain,A320,43,21,21,2,2025-12-30 16:30
FLY1606,Hyderabad to Pune,2025-12-31 04:30,2025-12-31 06:18,A320,1h 48m,PLT8664,Captain_24,Captain,A320,40,18,11,6,2025-12-30 17:30
FLY1607,Hyderabad to Bangalore,2025-12-31 16:45,2025-12-31 19:35,B737,2h 50m,PLT7543,Captain_1,Captain,B737,42,20,22,1,2025-12-30 18:45
FLY1608,Pune to Guwahati,2025-12-31 00:15,2025-12-31 02:56,A320,2h 41m,PLT5580,FO_21,First Officer,A320,24,3,16,3,2025-12-30 08:15
FLY1609,Guwahati to Chennai,2025-12-31 05:15,2025-12-31 08:01,A320,2h 46m,PLT7000,FO_24,First Officer,A320,24,3,9,8,2025-12-30 20:15
FLY1610,Guwahati to Kolkata,2025-12-31 00:45,2025-12-31 02:36,B737,1h 51m,PLT6026,FO_9,First Officer,B737,27,6,11,6,2025-12-30 13:45
FLY1611,Hyderabad to Ahmedabad,2025-12-31 07:00,2025-12-31 08:25,B737,1h 25m,PLT5238,Captain_5,Captain,B737,46,24,12,9,2025-12-30 19:00
FLY1612,Bangalore to Chennai,2025-12-31 10:00,2025-12-31 12:26,A320,2h 26m,PLT7057,Captain_1,Captain,A320,58,36,11,7,2025-12-30 23:00
FLY1613,Kolkata to Goa,2025-12-31 18:45,2025-12-31 20:02,B737,1h 17m,PLT8493,FO_27,First Officer,B737,24,3,12,8,2025-12-31 06:45
FLY1614,Pune to Delhi,2025-12-31 05:00,2025-12-31 07:01,A320,2h 1m,PLT8218,Captain_2,Captain,A320,54,32,8,9,2025-12-30 21:00
FLY1615,Ahmedabad to Chennai,2025-12-31 05:30,2025-12-31 07:38,B737,2h 8m,PLT8971,FO_10,First Officer,B737,37,16,9,9,2025-12-30 20:30
